Question,A,B,C,D,Answer,Qtype
"
", Consider the usual algorithm for determining whether a sequence of parentheses is balanced.,"
Suppose that you run the algorithm on a sequence that contains 2 left parentheses and 3 right parentheses (in some order).","
The maximum number of parentheses that appear on the stack AT ANY ONE TIME during the computation?","
 1", b,DS
"
 3","
 4 or more","
", What is the value of the postfix expression 6 3 2 4 + – *:,"
 1", d,DS
"
 74","
 -18","
", Here is an infix expression: 4 + 3*(6*3-12). Suppose that we are using the usual stack algorithm to convert the expression from infix to postfix notation.,"
The maximum number of symbols that will appear on the stack AT ONE TIME during the conversion of this expression?", d,DS
 The postfix form of the expression (A+ *(C*D- E)*F / G is?,"
 AB+ CD*E – FG /**","
 AB + CD* E – F **G /","
 AB + CD* E – *F *G /","
 AB + CDE * – * F *G /", c,DS
 The data structure required to check whether an expression contains balanced parenthesis is?,"
 Stack","
 Queue","
 Array","
 Tree", a,DS
 What data structure would you mostly likely see in a non recursive implementation of a recursive algorithm?,"
 Linked List","
 Stack","
 Queue","
 Tree", b,DS
 The process of accessing data stored in a serial access memory is similar to manipulating data on a ________,"
 Heap","
 Binary Tree","
 Array","
 Stack", d,DS
 The postfix form of A*B+C/D is?,"
 *AB/CD+","
 AB*CD/+","
 A*BC+/D","
 ABCD+/*", b,DS
 Which data structure is needed to convert infix notation to postfix notation?,"
 Branch","
 Tree","
 Queue","
 Stack", d,DS
 The prefix form of A-B/ (C * D ^ E) is?,"
 -/*^ACBDE","
 -ABCD*^DE","
 -A/B*C^DE","
 -A/BC*^DE", c,DS
 What is the result of the following operation?,"
Top (Push (S, X))","
 X","
 X+S","
 S", a,DS
"
", The prefix form of an infix expression (p + q) – (r * t) is?,"
 + pq – *rt","
 – +pqr * t","
 – +pq * rt", c,DS
"
", Which data structure is used for implementing recursion?,"
 Queue","
 Stack","
 Array", b,DS
" The result of evaluating the postfix expression 5, 4, 6, +, *, 4, 9, 3, /, +, * is?","
 600","
 350","
 650","
 588", b,DS
 Convert the following infix expressions into its equivalent postfix expressions,"
(A + B ⋀/(E – F)+G","
 (A B D ⋀ + E F – / G +)","
 (A B D +⋀ E F – / G +)","
 (A B D ⋀ + E F/- G +)", a,DS
"
", Convert the following Infix expression to Postfix form using a stack,"
x + y * z + (p * q + r) * s, Follow usual precedence rule and assume that the expression is legal.","
 xyz*+pq*r+s*+","
 xyz*+pq*r+s+*", a,DS
"
 xyzp+**qr+s*+","
", Which of the following statement(s) about stack data structure is/are NOT correct?,"
 Linked List are used for implementing Stacks","
 Top of the Stack always contain the new node", c,DS
"
 Null link is present in the last node at the bottom of the stack","
", Consider the following operation performed on a stack of size ,"
Push(1);","
Pop();", a,DS
"
Push(3);","
Pop();","
Push(4);","
Pop();","
Pop();", d,DS
"
After the completion of all operation, the number of elements present in stack are","
 1","
 2","
 3","
 4", c,DS
 Which of the following is not an inherent application of stack?,"
 Reversing a string","
 Evaluation of postfix expression","
 Implementation of recursion","
 Job scheduling", b,DS
 The type of expression in which operator succeeds its operands is?,"
 Infix Expression","
 Prefix Expression","
 Postfix Expression","
 Both Prefix and Postfix Expressions", b,DS
 A linear list of elements in which deletion can be done from one end (front) and insertion can take place only at the other end (rear) is known as a ?,"
 Queue","
 Stack","
 Tree","
 Linked list", a,DS
 The data structure required for Breadth First Traversal on a graph is?,"
 Stack","
 Array","
 Queue","
 Tree", c,DS
 A queue follows __________,"
 FIFO (First In First Out) principle","
 LIFO (Last In First Out) principle","
 Ordered array","
 Linear tree", a,DS
 Circular Queue is also known as ________,"
 Ring Buffer","
 Square Buffer","
 Rectangle Buffer","
 Curve Buffer", a,DS
" If the elements “A”, “B”, “C” and “D” are placed in a queue and are deleted one at a time, in what order will they be removed?","
 ABCD","
 DCBA","
 DCAB","
 ABDC", a,DS
 A data structure in which elements can be inserted or deleted at/from both the ends but not in the middle is?,"
 Queue","
 Circular queue","
 Dequeue","
 Priority queue", c,DS
" A normal queue, if implemented using an array of size MAX_SIZE, gets full when","
 Rear = MAX_SIZE – 1","
 Front = (rear + 1)mod MAX_SIZE","
 Front = rear + 1","
 Rear = front", a,DS
 Queues serve major role in ______________,"
 Simulation of recursion","
 Simulation of arbitrary linked list","
 Simulation of limited resource allocation","
 Simulation of heap sort", c,DS
 Which of the following is not the type of queue?,"
 Ordinary queue","
 Single ended queue","
 Circular queue","
 Priority queue", b,DS
 A linear collection of data elements where the linear node is given by means of pointer is called?,"
 Linked list","
 Node list","
 Primitive list","
 Unordered list", a,DS
 Consider an implementation of unsorted singly linked list. Suppose it has its representation with a head pointer only.,"
Given the representation, which of the following operation can be implemented in O(1) time?","
i)	Insertion at the front of the linked list","
ii)	Insertion at the end of the linked list","
iii)    Deletion of the front node of the linked list", b,DS
"
 I and II","
 I and III","
 I, II and III","
 I, II and IV","
", c,DS
"
 Pointer to character","
 Pointer to integer","
 Pointer to node","
 Node","
", c,DS
"
 O(1)","
 O(n)","
 θ(n)","
 θ(1)","
", b,DS
"
 O(1)","
 O(n)","
 O(n",),"
 O(n", b,DS
"
", What would be the asymptotic time complexity to find an element in the linked list?,"
 O(1)","
 O(n)","
 O(n", a,DS
"
 O(n",),"
", What would be the asymptotic time complexity to insert an element at the second position in the linked list?,"
 O(1)", c,DS
"
 O(n",),"
 O(n",),"
", a,DS
 What kind of linked list is best to answer question like “What is the item at position n?”,"
 Singly linked list","
 Doubly linked list","
 Circular linked list","
 Array implementation of linked list", d,DS
 Linked lists are not suitable to for the implementation of?,"
 Insertion sort","
 Radix sort","
 Polynomial manipulation","
 Binary search", d,DS
 Linked list is considered as an example of ___________ type of memory allocation.,"
 Dynamic","
 Static","
 Compile time","
 Heap", a,DS
" In Linked List implementation, a node carries information regarding ___________","
 Data","
 Link","
 Data and Link","
 Node", b,DS
 Linked list data structure offers considerable saving in _____________,"
 Computational Time","
 Space Utilization","
 Space Utilization and Computational Time","
 Speed Utilization", c,DS
 Which of the following points is/are not true about Linked List data structure when it is compared with array?,"
 Arrays have better cache locality that can make them better in terms of performance","
 It is easy to insert and delete elements in Linked List","
 Random access is not allowed in a typical implementation of Linked Lists","
 Access of elements in linked list takes less time than compared to arrays", d,DS
 What does the following function do for a given Linked List with first node as head?, Prints all nodes of linked lists,"
 Prints all nodes of linked list in reverse order","
 Prints alternate nodes of Linked List","
 Prints alternate nodes in reverse order", b,DS
 Which of the following sorting algorithms can be used to sort a random linked list with minimum time complexity?,"
 Insertion Sort","
 Quick Sort","
 Heap Sort","
 Merge Sort", d,DS
 The following function reverse() is supposed to reverse a singly linked list. There is one line missing at the end of the function.,"What should be added in place of “/*ADD A STATEMENT HERE*/”, so that the function correctly reverses a linked list.","
 *head_ref = prev;","
 *head_ref = current;","
 *head_ref = next;", a,DS
"
", What is the output of following function for start pointing to first node of following linked list?, 1 4 6 6 4 1,"
 1 3 5 1 3 5","
 1 2 3 5", d,DS
"
", The following C function takes a simply-linked list as input argument.,"
It modifies the list by moving the last element to the front of the list and returns","
the modified list. Some part of the code is left blank. Choose the correct alternative","
to replace the blank line.", d,DS
"
 q->next = NULL; head = p; p->next = head;","
 head = p; p->next = q; q->next = NULL;","
 q->next = NULL; p->next = head; head = p;","
", The following C function takes a single-linked list of integers as a parameter and rearranges the elements of the list., b,DS
" 1, 2, 3, 4, 5, 6, 7","
 2, 1, 4, 3, 6, 5, 7","
 1, 3, 2, 5, 4, 7, 6","
 2, 3, 4, 5, 6, 7, 1","
", d,DS
"
 log 2 n","
 ",⁄,"
 log 2 n – 1","
 n", a,DS
" Given pointer to a node X in a singly linked list. Only one pointer is given, pointer to head node is not given, can we delete the node X from given linked list?","
 Possible if X is not last node","
 Possible if size of linked list is even","
 Possible if size of linked list is odd","
 Possible if X is not first node", c,DS
" You are given pointers to first and last nodes of a singly linked list, which of the following operations are dependent on the length of the linked list?","
 Delete the first element","
 Insert a new element as a first element","
 Delete the last element of the list","
 Add a new element at the end of the list", d,DS
 Which of the following is not a disadvantage to the usage of array?,"
 Fixed size","
 There are chances of wastage of memory space if elements inserted in an array are lesser than the allocated size","
 Insertion based on position","
 Accessing elements at specified positions", d,DS
 What is the time complexity of inserting at the end in dynamic arrays?,"
 O(1)","
 O(n)","
 O(logn)","
 Either O(1) or O(n)", d,DS
 What is the time complexity to count the number of elements in the linked list?,"
 O(1)","
 O(n)","
 O(logn)","
 O(n", b,DS
"
", Which of the following performs deletion of the last element in the list? Given below is the Node class.,,,, a,DS
 Inserting a node at the beginning of the list,"
 Deleting a node at the beginning of the list","
 Inserting a node at the end of the list","
 Deleting a node at the end of the list","
", c,DS
"
 O(1)","
 O(n)","
 Either O(1) or O(n)","
 O(logn)","
", a,DS
"
",,,, Which of these is not an application of linked list?, a,DS
"
 For separate chaining in hash-tables","
 To implement non-binary trees","
 Random Access of elements","
", Which of the following piece of code has the functionality of counting the number of elements in the list?, d,DS
,,,,, a,DS
 Which of the following is false about a doubly linked list?,"
 We can navigate in both the directions","
 It requires more space than a singly linked list","
 The insertion and deletion of a node take a bit longer","
 Implementing a doubly linked list is easier than singly linked list", d,DS
" Given the Node class implementation, select one of the following that correctly inserts a node at the tail of the list.",,,,, a,DS
"
",,,, What is the worst case time complexity of inserting a node in a doubly linked list?, a,DS
"
 O(logn)","
 O(n)","
 O(1)","
", How do you insert a node at the beginning of the list?, a,DS
,,, Consider the following doubly linked list: head-1-2-3-4-5-tail,"
What will be the list after performing the given sequence of operations?", b,DS
"
 head-1-2-3-4-5-6-tail","
 head-6-1-2-3-4-5-0-tail","
 head-0-1-2-3-4-5-tail","
", What is the functionality of the following piece of code?, c,DS
"
 Return the element at the tail of the list and remove it from the list","
 Return the last but one element from the list but do not remove it","
 Return the last but one element at the tail of the list and remove it from the list","
", Consider the following doubly linked list: head-1-2-3-4-5-tail, a,DS
 What differentiates a circular linked list from a normal linked list?,"
 You cannot have the ‘next’ pointer point to null in a circular linked list","
 It is faster to traverse the circular linked list","
 You may or may not have the ‘next’ pointer point to null in a circular linked list","
 Head node is known in circular linked list", c,DS
 How do you count the number of elements in the circular linked list?,"
",,,, a,DS
"
 Print fail if a particular element is not found","
 Print success if a particular element is equal to 1","
 Print fail if the list is empty","
", What is the time complexity of searching for an element in a circular linked list?, b,DS
"
 O(nlogn)","
 O(1)","
 O(n",),"
", a,DS
"
 Undo operation in a text editor","
 Recursive function calls","
 Allocating CPU to resources","
 Implement Hash Tables","
", c,DS
"
",,,, Return data from the end of the list, a,DS
"
 Returns the data from the beginning of the list","
 Returns the data and deletes the node from the beginning of the list","
", What is the functionality of the following code? Choose the most appropriate answer., Return data from the end of the list, d,DS
"
 Returns the data from the beginning of the list","
 Returns the data and deletes the node from the beginning of the list","
", Which of the following is false about a circular linked list?,"
 Every node has a successor", b,DS
"
 Time complexity for deleting the last node is O(n)","
 We can traverse the whole circular linked list by starting from any point","
", Consider a small circular linked list. How to detect the presence of cycles in this list effectively?,"
 Keep one node as head and traverse another temp node till the end to check if its ‘next points to head", b,DS
 Which of the following real world scenarios would you associate with a stack data structure?,"
 piling up of chairs one above the other","
 people standing in a line to be serviced at a counter","
 offer services based on the priority of the customer","
 tatkal Ticket Booking in IRCTC", a,DS
 What does the following function check for? (all necessary headers to be included and function is called from main), full stack,"
 invalid index","
 empty stack","
 infinite stack", c,DS
 What does ‘stack underflow’ refer to?,"
 accessing item from an undefined stack","
 adding items to a full stack","
 removing items from an empty stack","
 index out of bounds exception", c,DS
 What is the output of the following program?, stack is full,"
 20","
 0","
 -999", d,DS
 What is the time complexity of pop() operation when the stack is implemented using an array?,"
 O(1)","
 O(n)","
 O(logn)","
 O(nlogn)", a,DS
 Which of the following array position will be occupied by a new element being pushed for a stack of size N elements(capacity of stack > N).,"
 S[N-1] ","
 S[N] ","
 S[1] ","
 S[0] ", b,DS
 What happens when you pop from an empty stack while implementing using the Stack ADT in Java?,"
 Undefined error","
 Compiler displays a warning","
 EmptyStackException is thrown","
 NoStackException is thrown", c,DS
 What is the functionality of the following piece of Java code?,"
Assume: ‘a’ is a non empty array of integers, the Stack class creates an array of specified size and provides a top pointer indicating TOS(top of stack), push and pop have normal meaning.", print alternate elements of array,"
 duplicate the given array","
 parentheses matching", d,DS
"
"," Array implementation of Stack is not dynamic, which of the following statements supports this argument?","
 space allocation for array is fixed and cannot be changed during run-time","
 user unable to give the input for stack operations","
 a runtime exception halts execution", a,DS
"
", Which of the following array element will return the top-of-the-stack-element for a stack of size N elements(capacity of stack > N).,"
 S[N-1] ","
 S[N] ","
 S[N-2] ", a,DS
 What is the best case time complexity of deleting a node in Singly Linked list?,"
 O (n)","
 O (n",),"
 O (nlogn)", d,DS
"
", Which of the following statements are not correct with respect to Singly Linked List(SLL) and Doubly Linked List(DLL)?,"
 Complexity of Insertion and Deletion at known position is O(n) in SLL and O(1) in DLL","
 SLL uses lesser memory per node than DLL","
 DLL has more searching power than SLL", d,DS
"
", Given below is the Node class to perform basic list operations and a Stack class with a no arg constructor.,"
Select from the options the appropriate pop() operation that can be included in the Stack class. Also ‘first’ is the top-of-the-stack.",,, a,DS
, pop,"
 delete the top-of-the-stack element","
 retrieve the top-of-the-stack element","
 push operation", c,DS
 What is the functionality of the following piece of code?, reverse the list,"
 display the list","
 display the list excluding top-of-the-stack-element","
 reverse the list excluding top-of-the-stack-element", b,DS
 What does ‘stack overflow’ refer to?,"
 accessing item from an undefined stack","
 adding items to a full stack","
 removing items from an empty stack","
 index out of bounds exception", b,DS
 Given below is the Node class to perform basic list operations and a Stack class with a no arg constructor. Select from the options the appropriate push() operation that can be included in the Stack class. Also ‘first’ is the top-of-the-stack.,,,,, a,DS
"
 4","
 stack underflow","
 5","
", Which of the following data structures can be used for parentheses matching?, d,DS
"
 queue","
 priority queue","
 stack","
", Minimum number of queues to implement stack is ___________, d,DS
 Which of the following properties is associated with a queue?,"
 First In Last Out","
 First In First Out","
 Last In First Out","
 Last In Last Out", b,DS
" In a circular queue, how do you increment the rear end of the queue?","
 rear++","
 (rear+1) % CAPACITY","
 (rear % CAPACITY)+1","
 rear–", b,DS
 What is the term for inserting into a full queue known as?,"
 overflow","
 underflow","
 null pointer exception","
 program won’t be compiled", a,DS
 What is the time complexity of enqueue operation?,"
 O(logn)","
 O(nlogn)","
 O(n)","
 O(1)", d,DS
 What does the following piece of code do?, Dequeue,"
 Enqueue","
 Return the front element","
 Return the last element", c,DS
 What is the need for a circular queue?,"
 effective usage of memory","
 easier computations","
 to delete elements based on priority","
 implement LIFO principle in queues", a,DS
 Which of the following represents a dequeue operation? (count is the number of elements in the queue),"
",,,, a,DS
,, What is the space complexity of a linear queue having n elements?,"
 O(n)","
 O(nlogn)", a,DS
"
 O(1)","
", What is the output of the following piece of code?, 3 3,"
 3 6", a,DS
" In linked list implementation of queue, if only front pointer is maintained, which of the following operation take worst case linear time?","
 Insertion","
 Deletion","
 To empty a queue","
 Both Insertion and To empty a queue", d,DS
" In linked list implementation of a queue, where does a new element be inserted?","
 At the head of link list","
 At the centre position in the link list","
 At the tail of the link list","
 At any position in the linked list", c,DS
" In linked list implementation of a queue, front and rear pointers are tracked. Which of these pointers will change during an insertion into a NONEMPTY queue?","
 Only front pointer","
 Only rear pointer","
 Both front and rear pointer","
 No pointer will be changed", b,DS
" In linked list implementation of a queue, front and rear pointers are tracked. Which of these pointers will change during an insertion into EMPTY queue?","
 Only front pointer","
 Only rear pointer","
 Both front and rear pointer","
 No pointer will be changed", c,DS
" In case of insertion into a linked queue, a node borrowed from the __________ list is inserted in the queue.","
 AVAIL","
 FRONT","
 REAR","
 NULL", a,DS
" In linked list implementation of a queue, from where is the item deleted?","
 At the head of link list","
 At the centre position in the link list","
 At the tail of the link list","
 Node before the tail", a,DS
" In linked list implementation of a queue, the important condition for a queue to be empty is?","
 FRONT is null","
 REAR is null","
 LINK is empty","
 FRONT==REAR-1", a,DS
 The essential condition which is checked before insertion in a linked queue is?,"
 Underflow","
 Overflow","
 Front value","
 Rear value", b,DS
 The essential condition which is checked before deletion in a linked queue is?,"
 Underflow","
 Overflow","
 Front value","
 Rear value", a,DS
 Which of the following is true about linked list implementation of queue?,"
 In push operation, if new nodes are inserted at the beginning of linked list, then in pop operation, nodes must be removed from end","
 In push operation, if new nodes are inserted at the beginning, then in pop operation, nodes must be removed from the beginning","
 In push operation, if new nodes are inserted at the end, then in pop operation, nodes must be removed from end","
 In push operation, if new nodes are inserted at the end, then in pop operation, nodes must be removed from beginning", a,DS
 With what data structure can a priority queue be implemented?,"
 Array","
 List","
 Heap","
 Tree", d,DS
 Which of the following is not an application of priority queue?,"
 Huffman codes","
 Interrupt handling in operating system","
 Undo operation in text editors","
 Bayesian spam filter", c,DS
 Select the appropriate code that inserts elements into the list based on the given key value.,"
(head and trail are dummy nodes to mark the end and beginning of the list, they do not contain any priority or element)","
",,, a,DS
 What is the time complexity to insert a node based on key in a priority queue?,"
 O(nlogn)","
 O(logn)","
 O(n)","
 O(n", c,DS
"
", What is the functionality of the following piece of code?, Delete the second element in the list,"
 Return but not delete the second element in the list","
 Delete the first element in the list", c,DS
"
", What is not a disadvantage of priority scheduling in operating systems?,"
 A low priority process might have to wait indefinitely for the CPU","
 If the system crashes, the low priority systems may be lost permanently","
 Interrupt handling", c,DS
"
", Which of the following is not an advantage of priority queue?,"
 Easy to implement","
 Processes with different priority can be efficiently handled","
 Applications with differing requirements", d,DS
"
", What is the time complexity to insert a node based on position in a priority queue?,"
 O(nlogn)","
 O(logn)","
 O(n)", c,DS
 What is a dequeue?,"
 A queue with insert/delete defined for both front and rear ends of the queue","
 A queue implemented with a doubly linked list","
 A queue implemented with both singly and doubly linked lists","
 A queue with insert/delete defined for front side of the queue", a,DS
 Select the function which performs insertion at the front end of the dequeue?,"
",,,, a,DS
"
 Insert at the rear end of the dequeue","
 Fetch the element at the rear end of the dequeue","
 Fetch the element at the front end of the dequeue","
", What are the applications of dequeue?, b,DS
"
 Can be used as both stack and queue","
 To find the maximum of all sub arrays of size k","
 To avoid collision in hash tables","
", Which of the following can be used to delete an element from the front end of the queue?, d,DS
,,,,, b,DS
" After performing these set of operations, what does the final list look contain?", 10 30 10 15,"
 20 30 40 15","
 20 30 40 10","
 10 30 40 15", c,DS
" A Double-ended queue supports operations such as adding and removing items from both the sides of the queue. They support four operations like addFront(adding item to top of the queue), addRear(adding item to the bottom of the queue), removeFront(removing item from the top of the queue) and removeRear(removing item from the bottom of the queue). You are given only stacks to implement this data structure. You can implement only push and pop operations. What are the total number of stacks required for this operation?(you can reuse the stack)","
 1","
 2","
 3","
 4", b,DS
 You are asked to perform a queue operation using a stack. Assume the size of the stack is some value ‘n’ and there are ‘m’ number of variables in this stack. The time complexity of performing deQueue operation is (Using only stack operations like push and pop)(Tightly boun.,"
 O(m)","
 O(n)","
 O(m*n)","
 Data is insufficient", a,DS
 Consider you have an array of some random size. You need to perform dequeue operation. You can perform it using stack operation (push and pop) or using queue operations itself (enQueue and Dequeue). The output is guaranteed to be same. Find some differences?,"
 They will have different time complexities","
 The memory used will not be different","
 There are chances that output might be different","
 No differences", a,DS
 Consider you have a stack whose elements in it are as follows.,"
5 4 3 2 << top","
Where the top element is ","
You need to get the following stack","
6 5 4 3 2 << top", a,DS
"
 Push(pop()), push(6), push(pop())","
 Push(pop()), push(6)","
 Push(pop()), push(pop()), push(6)","
 Push(6)","
", b,DS
"
 O(m) and O(n)","
 O(1) and O(n)","
 O(n) and O(1)","
 O(n) and O(m)","
", a,DS
"
 Because of its time complexity O(n)","
 Because of its time complexity O(log(n))","
 Extra memory is not required","
 There are no problems","
", d,DS
"
 20","
 40","
 42","
 43","
", b,DS
"
 Empty the first jar by removing it one by one from the first jar and placing it into the second jar","
 Empty the first jar by removing it one by one from the first jar and placing it into the second jar and empty the second jar by placing all the rings into the first jar one by one","
 There exists no possible way to do this","
 Break the jar and remove the last one","
", c,DS
"
 Push","
 Pop","
 Enqueue","
 Returntop","
", d,DS
" To implement a stack using queue(with only enqueue and dequeue operations), how many queues will you need?","
 1","
 2","
 3","
 4", b,DS
" Making the push operation costly, select the code snippet which implements the same.(let q1 and q2 be two queues)","
",,,, a,DS
,,,,, b,DS
,,,,, c,DS
 Express -15 as a 6-bit signed binary number.,"
 001111","
 101111","
 101110","
 001110", b,DS
 Which of the following code snippet is used to convert decimal to binary numbers?,"
",,,, a,DS
"
",,,," Write a piece of code which returns true if the string contains balanced parenthesis, false otherwise.", d,DS
,,, O(logn),"
 O(n)", c,DS
"
 O(nlogn)","
", Which of the following program prints the index of every matching parenthesis?,"
",, c,DS
 How many stacks are required for applying evaluation of infix expression algorithm?,"
 one","
 two","
 three","
 four", b,DS
 How many passes does the evaluation of infix expression algorithm makes through the input?,"
 One","
 Two","
 Three","
 Four", a,DS
 Identify the infix expression from the list of options given below.,"
 a/b+(c-","
 abc*+d+ab+cd+*ce-f-","
 ab-c-","
 +ab", a,DS
 Which of the following statement is incorrect with respect to evaluation of infix expression algorithm?,"
 Operand is pushed on to the stack","
 If the precedence of operator is higher, pop two operands and evaluate","
 If the precedence of operator is lower, pop two operands and evaluate","
 The result is pushed on to the operand stack", b,DS
 Evaluate the following statement using infix evaluation algorithm and choose the correct answer. 1+2*3-2,"
 3","
 6","
 5","
 4", c,DS
 Evaluation of infix expression is done based on precedence of operators.,"
 True","
 False","
"," Of the following choices, which operator has the lowest precedence?", a,DS
"
 +","
 /","
 #","
", The system throws an error if parentheses are encountered in an infix expression evaluation algorithm., d,DS
"
 False","
", Evaluate the following and choose the correct answer.,"
a/b+c*d where a=4, b=2, c=2, d=","
 1", b,DS
"
 5","
 2","
", Evaluate the following statement using infix evaluation algorithm and choose the correct answer. 4*2+3-5/5,"
 10", b,DS
"
 16","
 12","
","1 Using the evaluation of infix expression, evaluate a^b+c  and choose the correct answer. (a=2, b=2, c=2)","
 12", a,DS
"
 10","
 6","
","1 Evaluate the following infix expression using algorithm and choose the correct answer. a+b*c-d/e^f  where a=1, b=2, c=3, d=4, e=2, f=","
 6", d,DS
"
 9","
 7","
","1 From the given expression tree, identify the infix expression, evaluate it and choose the correct result.","
 ", a,DS
 How many stacks are required for evaluation of prefix expression?,"
 one","
 two","
 three","
 four", b,DS
" While evaluating a prefix expression, the string is read from?","
 left to right","
 right to left","
 center to right","
 center to left to right", b,DS
 The associativity of an exponentiation operator ^ is right side.,"
 True","
 False","
", How many types of input characters are accepted by this algorithm?, a,DS
"
 two","
 three","
 four","
", What determines the order of evaluation of a prefix expression?, c,DS
"
 precedence only","
 associativity only","
 depends on the parser","
", Find the output of the following prefix expression, a,DS
"
 2","
 12","
 10","
 4","
", a,DS
"
 true","
 false","
"," Using the evaluation of prefix algorithm, evaluate +-9 2 ","
 10", b,DS
"
 17","
 14","
"," If -*+abcd = 11, find a, b, c, d using evaluation of prefix algorithm.","
 a=2, b=3, c=5, d=4", d,DS
"
 a=5, b=4, c=7,d=5","
 a=1, b=2, c=3, d=4","
"," In the given C snippet, find the statement number that has error.","
//C code to push an element into a stack", b,DS
 What is the other name for a postfix expression?,"
 Normal polish Notation","
 Reverse polish Notation","
 Warsaw notation","
 Infix notation", b,DS
 Which of the following is an example for a postfix expression?,"
 a*b(c+","
 abc*+de-+","
 +ab","
 a+b-c", b,DS
 Reverse Polish Notation is the reverse of a Polish Notation,"
 True","
 False","
", What is the time complexity of evaluation of postfix expression algorithm?, b,DS
"
 O (N log N)","
 O (N",),"
 O (M log N)","
", a,DS
"
 True","
 False","
", Which of these operators have the highest order of precedence?,"
 ‘(‘ and ‘)’", a,DS
"
 ‘~’ and ‘^’","
 ‘+’ and ‘-‘","
", Which of the following is not an application of stack?,"
  evaluation of postfix expression", c,DS
"
  balancing symbols","
  line at ticket counter","
"," While evaluating a postfix expression, when an operator is encountered, what is the correct operation to be performed?","
 push it directly on to the stack", d,DS
"
 pop the entire stack","
 ignore the operator","
", Which of the following statement is incorrect?,"
 Postfix operators use value to their right", b,DS
"
 Prefix operators use value to their right","
 In postfix expression, operands are followed by operators","
"," What is the result of the given postfix expression?  abc*+ where a=1, b=2, c=","
 4", a,DS
"
 6","
 7","
",1 What is the result of the following postfix expression?,"
  ab*cd*+ where a=2,b=2,c=3,d=", d,DS
"
 12","
 14","
 10","
",1 Consider the stack, a,DS
"
| 4 |","
| 3 |","
| 2 |.","
At this point, ‘*’ is encountered. What has to be done?","
 5*4=20 is pushed into the stack", a,DS
"
 2*3=6 is pushed into the stack","
 * is ignored","
","1 Evaluate the postfix expression ab + cd/- where a=5, b=4, c=9, d=","
 23", c,DS
"
 6","
 10","
",1 Evaluate and write the result for the following postfix expression,"
   abc*+de*f+g*+ where a=1, b=2, c=3, d=4, e=5, f=6, g=", b,DS
"
 59","
 60","
 55","
","1 For the given expression tree, write the correct postfix expression.", a,DS
 What data structure is used when converting an infix notation to prefix notation?,"
 Stack","
 Queue","
 B-Trees","
 Linked-list", a,DS
 What would be the Prefix notation for the given equation?, +A*CB,"
 *B+AC","
 +A*BC","
 *A+CB", c,DS
 What would be the Prefix notation for the given equation?, +*AB*CD,"
 *+AB*CD","
 **AB+CD","
 +*BA*CD", a,DS
